GYEAR,PCODE,HIT_VEL,HIT_ANG_VER,barrel
2021,50150,107.69,-0.5,0
2021,50150,68.33,69.8,0
2021,50150,133.06,35.4,0
2021,50150,127.54,20.3,0
2020,50165,145.62,-2.6,0
2020,50165,158.74,27.0,1
2020,50165,166.6,31.0,1
2020,50165,143.9,10.7,0
2020,50165,151.52,-16.1,0
2020,50165,153.35,69.0,0
2020,50165,136.8,46.1,0
2020,50165,164.66,15.3,0
2020,50165,150.45,21.0,0
2020,50165,141.78,5.1,0
2020,50165,154.8,10.4,0
2020,50165,166.34,4.6,0
2020,50165,140.99,29.8,1
2020,50165,156.45,34.4,1
2020,50165,119.5,33.5,0
2020,50165,154.34,22.0,0
2020,50165,156.22,34.3,1
2020,50165,164.84,15.3,0
2020,50165,147.23,22.9,0
2020,50165,140.53,53.6,0
2020,50165,117.64,26.8,0
2020,50165,150.45,54.6,0
2020,50165,124.81,18.4,0
2020,50165,145.18,23.5,0
2020,50165,169.07,24.1,1
2020,50165,151.01,18.7,0
2020,50165,110.16,-26.9,0
2020,50165,158.84,24.8,1
2020,50165,120.51,83.6,0
2020,50165,154.19,13.2,0
2020,50165,158.13,55.8,0
2020,50165,167.47,38.0,1
2020,50165,124.76,22.8,0
2020,50165,111.12,7.0,0
2020,50165,142.39,29.1,1
2020,50165,150.25,-16.1,0
2020,50165,153.93,14.5,0
2020,50165,134.59,23.1,0
2020,50165,168.84,16.7,1
2020,50165,117.36,63.9,0
2020,50165,124.77,66.1,0
2020,50165,139.86,42.9,0
2020,50165,156.4,23.0,1
2020,50165,165.66,25.8,1
2020,50165,158.84,33.5,1
2020,50165,149.85,1.1,0
2020,50165,150.46,23.1,0
2020,50165,132.13,26.6,0
2020,50165,156.84,-4.9,0
2020,50165,144.24,42.3,0
2020,50165,165.28,32.4,1
2020,50165,160.02,11.1,0
2020,50165,158.78,8.6,0
2020,50165,143.69,11.9,0
2020,50165,148.81,-8.9,0
2020,50165,156.22,24.4,1
2020,50165,101.51,4.8,0
2020,50165,91.12,21.7,0
2020,50165,161.21,15.1,0
2020,50165,171.28,39.3,1
2020,50165,166.22,-1.3,0
2020,50165,153.48,59.1,0
2020,50165,131.82,32.0,0
2020,50165,155.98,26.4,1
2020,50165,154.87,37.6,0
2020,50165,169.96,33.4,1
2020,50165,120.22,42.8,0
2020,50165,162.45,6.2,0
2020,50165,146.9,20.9,0
2020,50165,135.71,-0.1,0
2020,50165,151.82,23.4,1
2020,50165,158.77,10.0,0
2020,50165,155.1,9.4,0
2020,50165,158.46,9.1,0
2020,50165,161.99,-5.9,0
2020,50165,149.43,24.4,1
2020,50165,166.39,25.7,1
2020,50165,83.71,14.7,0
2020,50165,133.52,13.4,0
2020,50165,132.18,32.1,0
2020,50165,154.69,50.1,0
2020,50165,128.29,54.1,0
2020,50165,171.41,9.5,0
2020,50165,161.37,-2.2,0
2020,50165,164.79,8.5,0
2020,50165,135.86,46.3,0
2020,50165,159.7,18.4,0
2020,50165,143.8,31.1,1
2020,50165,145.77,61.8,0
2020,50165,159.74,-6.1,0
2020,50165,144.64,23.3,0
2020,50165,132.27,10.7,0
2020,50165,170.11,10.3,0
2020,50165,156.14,-3.1,0
2020,50165,147.76,0.7,0
2020,50165,147.45,55.7,0
2020,50165,114.74,66.6,0
2020,50165,158.69,20.3,1
2020,50165,155.28,-4.3,0
2020,50165,129.49,67.3,0
2020,50165,163.2,13.2,0
2020,50165,146.97,30.1,1
2020,50165,123.01,78.6,0
2020,50165,153.29,25.2,1
2020,50165,144.15,2.6,0
2020,50165,169.07,17.3,1
2020,50165,151.22,16.2,0
2020,50165,170.88,13.3,0
2020,50165,106.11,16.8,0
2020,50165,143.49,7.6,0
2020,50165,159.6,39.5,0
2020,50165,159.65,34.5,1
2020,50165,166.33,-5.0,0
2020,50165,140.98,34.9,0
2020,50165,157.56,-3.8,0
2020,50165,142.37,-2.6,0
2020,50165,165.33,29.7,1
2020,50165,156.61,24.2,1
2020,50165,161.79,3.9,0
2020,50165,158.53,10.6,0
2020,50165,147.87,-1.4,0
2020,50165,153.52,-4.3,0
2020,50165,138.15,20.9,0
2020,50165,163.77,-2.9,0
2020,50165,160.8,7.2,0
2020,50165,159.58,10.7,0
2020,50165,165.64,29.6,1
2020,50165,163.12,8.6,0
2020,50165,142.31,20.4,0
2020,50165,132.47,24.0,0
2020,50165,161.75,3.3,0
2020,50165,157.8,41.3,0
2020,50165,123.49,74.3,0
2020,50165,130.67,-12.1,0
2020,50165,141.39,52.5,0
2020,50165,162.45,-11.9,0
2020,50165,163.93,-1.3,0
2020,50165,110.5,16.8,0
2020,50165,147.66,61.9,0
2020,50165,160.54,28.1,1
2020,50165,128.88,34.0,0
2020,50165,147.43,52.4,0
2020,50165,153.7,7.0,0
2020,50165,143.94,0.1,0
2020,50165,151.94,54.5,0
2020,50165,166.34,16.1,0
2020,50165,112.58,18.3,0
2020,50165,162.98,69.8,0
2020,50165,150.39,13.9,0
2020,50165,123.42,71.4,0
2020,50165,145.17,52.2,0
2020,50165,165.15,20.6,1
2020,50165,121.4,25.4,0
2020,50165,152.39,-4.1,0
2020,50165,134.54,23.5,0
2020,50165,156.02,5.9,0
2020,50165,155.23,40.1,0
2020,50165,115.15,49.2,0
2020,50165,152.43,64.5,0
2020,50165,151.63,17.2,0
2020,50165,155.33,41.4,0
2020,50165,163.51,2.2,0
2020,50165,135.35,35.4,0
2020,50165,148.99,9.6,0
2020,50165,108.93,47.3,0
2020,50165,107.69,6.8,0
2020,50165,118.11,-5.0,0
2020,50165,155.17,27.4,1
2020,50165,100.45,21.0,0
2020,50165,155.86,-0.9,0
2020,50165,152.74,30.0,1
2020,50165,120.76,-3.1,0
2020,50165,113.81,-1.5,0
2020,50165,153.72,-2.0,0
2020,50165,149.42,1.6,0
2020,50165,155.37,26.6,1
2020,50165,130.6,26.2,0
2020,50165,132.65,82.4,0
2020,50165,160.21,26.6,1
2020,50165,136.25,70.8,0
2020,50165,116.03,-11.7,0
2020,50165,159.7,2.3,0
2020,50165,141.53,32.5,0
2020,50165,143.33,34.0,0
2020,50165,124.98,14.4,0
2020,50165,161.06,2.4,0
2020,50165,166.92,25.4,1
2020,50165,152.06,12.2,0
2020,50165,168.2,26.1,1
2020,50165,146.29,30.0,1
2020,50165,170.23,24.2,1
2020,50165,161.94,28.8,1
2020,50165,138.31,35.6,0
2020,50165,160.75,4.4,0
2020,50165,107.88,-12.3,0
2020,50165,136.43,6.7,0
2020,50165,119.85,-3.6,0
2020,50165,94.4,37.4,0
2020,50165,126.45,53.0,0
2020,50165,122.22,19.6,0
2020,50165,113.81,66.4,0
2020,50165,129.04,-20.6,0
2020,50165,145.11,46.5,0
2020,50165,130.63,-6.5,0
2020,50165,152.16,27.6,1
2020,50165,162.72,41.6,0
2020,50165,152.5,58.9,0
2020,50165,127.32,-1.8,0
2020,50165,156.88,12.5,0
2020,50165,155.84,60.8,0
2020,50165,167.33,6.8,0
2020,50165,145.99,29.6,1
2020,50165,156.4,5.2,0
2020,50165,150.85,13.4,0
2020,50165,165.74,27.8,1
2020,50165,156.78,32.0,1
2020,50165,163.05,16.1,0
2020,50165,133.66,-1.3,0
2020,50165,142.61,27.4,0
2020,50165,161.43,10.2,0
2020,50165,138.4,1.4,0
2020,50165,107.11,57.9,0
2020,50165,113.43,67.9,0
2020,50165,141.29,-3.7,0
2020,50165,102.27,60.2,0
2020,50165,154.71,35.4,1
2020,50165,164.76,19.8,1
2020,50165,166.4,41.6,0
2020,50165,148.02,4.5,0
2020,50165,156.92,24.8,1
2020,50165,138.83,57.0,0
2020,50165,137.08,72.5,0
2020,50165,156.39,32.5,1
2020,50165,159.35,35.3,1
2020,50165,163.13,23.9,1
2020,50165,140.67,9.9,0
2020,50165,105.7,72.9,0
2020,50165,134.74,-0.4,0
2020,50165,154.27,40.6,0
2020,50165,155.69,38.9,0
2020,50165,168.69,41.6,0
2020,50165,151.35,18.1,0
2020,50165,131.08,-11.7,0
2020,50165,151.25,37.8,0
2020,50165,89.28,-10.4,0
2020,50165,99.28,71.0,0
2020,50165,169.59,32.6,1
2020,50165,153.29,20.0,0
2020,50165,149.16,6.2,0
2020,50165,167.37,-1.4,0
2020,50165,121.56,37.2,0
2020,50165,154.8,48.4,0
2020,50165,149.77,32.0,1
2020,50165,132.61,63.5,0
2020,50165,148.45,42.6,0
2020,50165,139.84,39.1,0
2020,50165,157.47,25.9,1
2020,50165,149.34,45.3,0
2020,50165,138.29,65.0,0
2020,50165,167.65,32.0,1
2020,50165,121.08,4.4,0
2020,50165,137.36,-7.7,0
2020,50165,98.48,9.9,0
2020,50165,127.87,-13.6,0
2020,50165,108.33,3.6,0
2020,50165,156.93,2.2,0
2020,50165,143.93,20.0,0
2020,50165,161.01,-5.5,0
2020,50165,144.73,31.9,1
2020,50165,134.51,4.2,0
2020,50165,132.61,-0.9,0
2020,50165,83.51,29.4,0
2020,50165,122.38,9.2,0
2020,50165,74.0,40.8,0
2021,50165,143.84,65.5,0
2021,50165,116.93,43.7,0
2021,50165,141.41,39.0,0
2021,50165,140.27,16.6,0
2021,50165,154.39,47.0,0
2021,50165,98.74,16.5,0
2021,50165,125.22,-8.9,0
2021,50165,124.72,12.4,0
2021,50165,164.41,26.3,1
2021,50165,142.25,28.4,1
2021,50165,162.27,11.2,0
2021,50165,114.89,4.1,0
2021,50165,151.81,23.9,1
2021,50165,159.69,58.1,0
2021,50165,153.46,45.5,0
2021,50165,154.86,37.6,0
2021,50165,120.85,5.9,0
2021,50165,132.14,12.1,0
2021,50165,155.72,42.1,0
2021,50165,146.98,43.1,0
2021,50165,161.54,45.9,0
2021,50165,132.04,53.6,0
2021,50165,156.08,19.5,0
2021,50165,165.37,18.3,1
2021,50165,164.5,22.4,1
2021,50165,141.39,78.6,0
2021,50165,161.97,17.9,0
2021,50165,116.34,-21.2,0
2021,50165,122.62,50.4,0
2021,50165,149.68,14.8,0
2021,50165,142.13,14.9,0
2021,50165,145.99,38.5,0
2021,50165,160.97,7.8,0
2021,50165,134.94,-3.3,0
2021,50165,165.03,17.2,1
2021,50165,162.84,32.9,1
2021,50165,159.89,17.7,0
2021,50165,130.52,-1.5,0
2021,50165,105.09,13.4,0
2021,50165,109.46,17.1,0
2021,50165,116.47,14.5,0
2021,50165,158.65,43.2,0
2021,50165,85.13,-19.4,0
2021,50165,141.82,58.4,0
2021,50165,142.81,6.1,0
2021,50165,88.99,14.2,0
2021,50165,168.26,28.7,1
2021,50165,148.22,39.3,0
2021,50165,147.96,-13.6,0
2021,50165,162.05,5.3,0
2021,50165,119.83,-9.7,0
2021,50165,155.38,49.1,0
2021,50165,125.39,-21.5,0
2021,50165,156.74,18.9,0
2021,50165,150.93,-11.4,0
2021,50165,137.07,3.0,0
2021,50165,129.06,-8.5,0
2021,50165,111.65,11.6,0
2021,50165,133.23,80.5,0
2021,50165,146.81,42.7,0
2021,50165,158.74,39.3,0
2021,50165,104.2,-2.8,0
2021,50165,152.94,13.7,0
2021,50165,100.12,67.9,0
2021,50165,156.83,18.2,0
2021,50165,162.79,5.5,0
2021,50165,133.53,48.1,0
2021,50165,167.37,-0.7,0
2021,50165,135.25,41.7,0
2021,50165,147.65,33.3,1
2021,50165,112.29,15.6,0
2021,50165,99.19,2.3,0
2021,50165,152.98,28.2,1
2021,50165,150.31,46.8,0
2021,50165,154.47,18.8,0
2021,50165,153.91,-5.2,0
2021,50165,153.91,62.0,0
2021,50165,166.46,16.0,0
2021,50165,121.49,24.2,0
2021,50165,152.57,9.6,0
2021,50165,163.96,20.5,1
2021,50165,153.03,-2.0,0
2021,50165,161.14,17.0,0
2021,50165,145.24,57.6,0
2021,50165,127.32,65.1,0
2021,50165,99.08,66.9,0
2021,50165,120.29,39.8,0
2021,50165,146.52,-12.6,0
2021,50165,94.45,-13.5,0
2021,50165,150.71,55.9,0
2021,50165,155.77,24.6,1
2021,50165,125.01,59.4,0
2021,50165,140.67,-1.4,0
2021,50165,145.06,31.3,1
2021,50165,100.22,61.6,0
2021,50165,153.84,22.1,0
2021,50165,148.88,11.4,0
2021,50165,144.43,10.9,0
2021,50165,109.16,43.3,0
2021,50165,151.19,43.7,0
2021,50165,139.54,73.2,0
2021,50165,133.5,44.5,0
2021,50165,136.5,5.0,0
2021,50165,102.93,27.2,0
2021,50165,141.79,-2.6,0
2021,50165,139.31,55.6,0
2021,50165,165.98,9.1,0
2021,50165,150.97,34.1,1
2021,50165,119.45,40.2,0
2021,50165,97.87,-26.3,0
2021,50165,150.67,31.8,1
2021,50165,150.96,25.3,1
2021,50165,122.67,48.9,0
2021,50165,146.07,-14.9,0
2021,50165,153.45,49.9,0
2021,50165,145.29,27.6,1
2021,50165,135.83,55.5,0
2021,50165,123.19,6.8,0
2021,50165,152.08,60.6,0
2021,50165,139.77,72.2,0
2021,50165,150.53,15.9,0
2021,50165,120.14,3.8,0
2021,50165,150.0,2.3,0
2021,50165,133.86,-0.5,0
2021,50165,149.29,44.1,0
2021,50165,158.44,4.1,0
2021,50165,136.11,37.7,0
2021,50165,141.17,1.9,0
2021,50165,162.31,27.8,1
2021,50165,165.98,20.3,1
2021,50165,107.72,45.6,0
2021,50165,125.05,33.2,0
2021,50165,120.03,32.0,0
2021,50167,138.41,54.1,0
2021,50167,144.7,29.0,1
2021,50167,137.84,11.7,0
2021,50167,126.64,31.1,0
2021,50167,130.56,25.9,0
2021,50167,128.81,78.2,0
2020,50202,123.28,45.8,0
2020,50202,138.36,-2.3,0
2020,50202,134.26,17.5,0
2020,50202,149.31,10.5,0
2020,50202,150.14,-11.6,0
2020,50202,147.1,-0.2,0
2020,50202,147.77,-1.7,0
2020,50202,133.83,51.4,0
2020,50202,138.9,-16.6,0
2020,50202,150.82,-5.2,0
2020,50202,119.41,47.2,0
2020,50202,146.0,-13.2,0
2020,50202,122.68,15.2,0
2020,50202,144.95,19.6,0
2020,50202,116.58,11.0,0
2020,50202,148.55,-3.0,0
2020,50202,96.48,-19.0,0
2020,50202,148.0,26.1,1
2020,50202,118.81,-13.0,0
2020,50202,70.96,70.3,0
2020,50202,131.99,33.0,0
2020,50202,151.83,-10.3,0
2020,50202,135.93,-7.6,0
2020,50202,123.64,33.5,0
2020,50202,154.37,-16.0,0
2020,50202,120.19,5.9,0
2020,50202,116.52,36.1,0
2021,50202,106.69,12.1,0
2021,50202,151.66,-7.8,0
2021,50202,130.96,51.3,0
2021,50202,107.11,45.0,0
2021,50202,125.44,-5.9,0
2021,50202,122.93,30.3,0
2021,50202,99.18,64.1,0
2021,50202,137.03,-8.7,0
2021,50202,145.49,-21.4,0
2021,50202,107.44,56.9,0
2021,50202,149.85,-6.5,0
2021,50202,115.56,52.3,0
2020,50208,120.61,-4.3,0
2020,50208,138.73,30.7,1
2020,50208,147.09,-13.5,0
2021,50208,111.08,-7.1,0
2020,50293,131.49,13.6,0
2020,50293,114.18,24.1,0
2020,50293,147.91,-3.4,0
2020,50293,103.28,32.6,0
2020,50293,110.4,53.2,0
2020,50293,135.3,-15.8,0
2020,50293,147.03,13.7,0
2020,50293,83.28,64.7,0
2020,50293,115.71,49.8,0
2020,50293,112.38,-5.4,0
2020,50293,88.68,37.2,0
2020,50293,158.57,-9.3,0
2020,50293,149.02,1.4,0
2020,50293,113.22,5.7,0
2020,50293,95.11,56.1,0
2020,50293,121.82,30.1,0
2020,50293,105.34,12.6,0
2020,50300,145.42,7.8,0
2020,50300,136.74,63.7,0
2020,50300,157.73,17.4,0
2020,50300,125.84,-5.3,0
2020,50300,155.33,30.7,1
2020,50300,143.24,35.4,0
2020,50300,149.49,-6.7,0
2020,50300,99.03,65.5,0
2020,50300,143.28,43.9,0
2020,50300,142.94,57.9,0
2020,50300,126.2,58.5,0
2020,50300,137.56,-0.1,0
2020,50300,145.17,42.7,0
2020,50300,145.47,-11.8,0
2020,50300,139.69,40.9,0
2020,50300,132.41,67.7,0
2020,50300,143.06,5.1,0
2020,50300,114.26,-9.7,0
2020,50300,112.2,26.6,0
2021,50304,148.37,5.7,0
2021,50304,110.88,36.7,0
2021,50304,61.22,-18.0,0
2021,50304,98.53,70.2,0
2021,50304,143.45,7.9,0
2021,50304,125.66,65.7,0
2021,50304,115.23,57.4,0
2021,50304,136.74,25.4,0
2021,50312,112.84,-1.9,0
2021,50312,137.74,20.6,0
2021,50312,111.23,66.6,0
2021,50312,112.3,56.7,0
2020,50350,151.12,51.5,0
2020,50350,84.17,0.6,0
2020,50350,146.55,-6.3,0
2020,50350,158.69,1.4,0
2020,50350,156.91,20.6,0
2020,50350,128.13,32.9,0
2020,50350,130.63,-29.6,0
2020,50350,152.35,21.1,0
2020,50350,134.88,-1.1,0
2020,50350,114.62,76.3,0
2020,50350,160.49,18.9,0
2020,50350,114.24,9.1,0
2020,50350,147.93,-14.1,0
2020,50350,64.59,22.2,0
2020,50350,138.27,12.9,0
2020,50350,151.69,13.1,0
2020,50350,137.41,12.9,0
2020,50350,153.22,34.5,1
2020,50350,164.91,-3.6,0
2020,50350,139.85,-11.8,0
2020,50350,142.69,32.5,0
2020,50350,91.09,49.2,0
2020,50350,149.5,16.8,0
2020,50350,139.9,-2.7,0
2020,50350,98.41,32.2,0
2020,50350,143.64,37.6,0
2020,50350,142.99,-5.1,0
2020,50350,153.83,-3.5,0
2020,50350,144.03,35.1,0
2020,50350,139.67,18.3,0
2020,50350,120.69,54.0,0
2020,50350,127.66,26.9,0
2020,50350,118.66,71.4,0
2020,50350,160.94,10.8,0
2020,50350,87.87,58.1,0
2020,50350,143.58,-4.0,0
2020,50350,132.63,-11.9,0
2020,50350,150.31,3.0,0
2020,50350,137.3,56.5,0
2020,50350,137.53,61.6,0
2020,50350,113.51,-1.1,0
2020,50350,155.14,-5.0,0
2020,50350,117.36,33.7,0
2020,50350,160.27,11.2,0
2020,50350,146.94,23.4,0
2020,50350,162.7,-7.7,0
2020,50350,115.02,-26.5,0
2020,50350,142.06,24.0,0
2020,50350,138.25,17.6,0
2020,50350,123.07,0.0,0
2020,50350,123.93,35.4,0
2020,50350,158.85,-2.0,0
2020,50350,122.23,-14.8,0
2020,50350,109.06,37.7,0
2020,50350,116.45,-9.3,0
2020,50350,99.16,34.7,0
2020,50350,151.87,28.6,1
2020,50350,165.32,-8.1,0
2020,50350,140.16,40.8,0
2020,50350,98.42,87.8,0
2020,50350,151.47,0.1,0
2020,50350,122.08,86.4,0
2020,50350,137.31,-17.8,0
2020,50350,143.92,36.6,0
2020,50350,150.09,-12.5,0
2020,50350,142.71,19.2,0
2020,50350,116.04,5.3,0
2020,50350,156.99,12.9,0
2020,50350,139.02,35.0,0
2020,50350,136.73,14.7,0
2020,50350,159.18,-5.5,0
2020,50350,120.66,26.1,0
2020,50350,157.87,8.8,0
2020,50350,127.32,-9.7,0
2020,50350,156.9,-14.9,0
2020,50350,163.05,-8.5,0
2020,50350,155.12,14.8,0
2020,50350,147.49,22.8,0
2020,50350,122.45,31.6,0
2020,50350,142.59,47.9,0
2020,50350,143.94,29.0,1
2020,50350,120.4,37.3,0
2020,50350,146.6,5.4,0
2020,50350,125.84,0.4,0
2020,50350,134.62,38.7,0
2020,50350,141.42,17.1,0
2020,50350,147.65,-7.4,0
2020,50350,152.01,-15.1,0
2020,50350,151.39,30.7,1
2020,50350,131.85,52.7,0
2020,50350,136.38,53.4,0
2020,50350,163.27,18.6,1
2020,50350,111.88,11.2,0
2020,50350,165.93,-9.7,0
2020,50350,157.67,6.5,0
2020,50350,98.56,24.0,0
2020,50350,133.34,70.4,0
2020,50350,133.91,21.8,0
2020,50350,155.35,-16.2,0
2020,50350,153.95,34.3,1
2020,50350,155.81,-9.9,0
2020,50350,116.13,34.4,0
2020,50350,156.22,2.8,0
2020,50350,148.0,-19.3,0
2020,50350,158.26,-2.7,0
2020,50350,144.36,30.9,1
2020,50350,114.91,4.7,0
2020,50350,108.99,-10.7,0
2020,50350,155.04,-7.2,0
2020,50350,163.03,6.1,0
2020,50350,114.53,-6.9,0
2020,50350,158.32,5.2,0
2020,50350,161.43,-16.9,0
2020,50350,141.75,-6.3,0
2020,50350,133.59,46.1,0
2020,50350,144.97,47.5,0
2020,50350,153.72,17.1,0
2020,50350,119.92,-14.0,0
2020,50350,143.7,-2.4,0
2020,50350,154.12,2.7,0
2020,50350,96.58,24.6,0
2020,50350,152.76,-4.5,0
2020,50350,104.32,7.9,0
2020,50350,162.89,4.7,0
2020,50350,149.2,-11.0,0
2020,50350,160.3,-8.1,0
2020,50350,125.24,32.0,0
2020,50350,128.09,39.8,0
2020,50350,134.52,51.7,0
2020,50350,145.53,12.0,0
2020,50350,137.23,73.3,0
2020,50350,123.62,57.2,0
2020,50350,126.07,11.8,0
2020,50350,144.32,67.0,0
2020,50350,144.71,-23.7,0
2020,50350,135.6,70.3,0
2020,50350,96.57,48.4,0
2020,50350,148.87,-16.9,0
2020,50350,151.28,24.7,1
2020,50350,143.61,4.9,0
2020,50350,97.93,-13.9,0
2020,50350,136.71,4.9,0
2020,50350,117.46,67.6,0
2020,50350,149.95,-8.4,0
2020,50350,167.59,-3.9,0
2020,50350,134.76,64.6,0
2020,50350,128.16,39.1,0
2020,50350,158.09,-12.2,0
2020,50350,152.14,10.3,0
2020,50350,135.33,43.9,0
2020,50350,128.65,42.5,0
2020,50350,161.56,16.8,0
2020,50350,132.21,79.7,0
2020,50350,111.16,54.3,0
2020,50350,140.96,15.8,0
2020,50350,162.92,10.6,0
2020,50350,138.51,31.8,0
2020,50350,153.97,3.3,0
2020,50350,157.41,6.6,0
2020,50350,134.08,56.1,0
2020,50350,111.0,42.6,0
2020,50350,139.18,16.2,0
2020,50350,141.8,25.4,0
2020,50350,150.24,-2.3,0
2020,50350,128.21,61.5,0
2020,50350,155.34,37.2,0
2020,50350,101.76,73.5,0
2020,50350,84.02,-21.0,0
2020,50350,111.58,34.6,0
2020,50350,131.65,24.3,0
2020,50350,94.35,54.6,0
2020,50350,107.18,86.7,0
2020,50350,153.3,-5.4,0
2020,50350,151.87,-9.7,0
2020,50350,121.49,-5.6,0
2020,50350,165.08,12.5,0
2020,50357,137.63,5.5,0
2020,50357,157.39,20.4,0
2020,50357,161.83,11.5,0
2020,50357,144.26,-5.4,0
2020,50357,144.59,57.2,0
2020,50357,159.12,16.9,0
2020,50357,135.35,-3.1,0
2020,50357,112.57,17.8,0
2020,50357,115.55,66.6,0
2020,50357,139.04,73.3,0
2020,50357,112.21,42.2,0
2021,50357,126.02,23.7,0
2021,50357,131.21,8.9,0
2021,50357,146.37,41.3,0
2021,50357,157.48,-2.9,0
2021,50357,151.6,-10.8,0
2021,50357,161.33,1.0,0
2021,50357,160.66,8.8,0
2021,50357,131.17,-7.0,0
2021,50357,156.62,38.9,0
2021,50357,153.03,8.7,0
2021,50357,122.67,54.2,0
2021,50357,143.35,14.3,0
2021,50357,140.04,71.4,0
2021,50357,142.44,3.7,0
2021,50357,151.1,-4.2,0
2021,50357,116.26,1.7,0
2021,50357,131.15,31.5,0
2021,50357,141.69,19.0,0
2021,50357,149.74,27.4,1
2021,50357,145.8,-16.2,0
2020,50365,121.71,25.3,0
2021,50365,149.89,-1.8,0
2021,50365,144.99,25.4,0
2021,50365,112.13,51.5,0
2021,50365,125.44,55.6,0
2021,50365,136.98,-4.9,0
2021,50365,119.71,19.1,0
2021,50365,140.38,58.5,0
2020,50458,129.42,-6.0,0
2020,50458,133.62,6.8,0
2020,50458,131.75,-3.0,0
2020,50458,115.19,14.9,0
2020,50458,140.2,10.2,0
2020,50458,129.14,-22.0,0
2020,50458,127.36,54.6,0
2020,50458,106.64,-5.2,0
2020,50458,106.53,72.4,0
2020,50458,124.17,35.3,0
2020,50458,125.77,18.3,0
2020,50458,126.05,-15.0,0
2020,50458,107.96,29.6,0
2020,50458,142.39,-7.3,0
2020,50458,134.24,16.1,0
2020,50458,93.83,-32.3,0
2020,50458,107.58,29.8,0
2020,50458,96.59,-4.5,0
2020,50458,134.04,13.6,0
2020,50458,92.25,12.0,0
2020,50458,132.02,12.8,0
2020,50458,127.13,13.9,0
2020,50458,112.23,87.0,0
2020,50458,124.88,-1.2,0
2020,50458,123.32,16.0,0
2020,50458,132.88,21.6,0
2020,50458,139.37,19.7,0
2020,50458,98.74,64.2,0
2020,50458,131.29,22.6,0
2020,50458,138.5,7.3,0
2020,50458,131.1,14.0,0
2020,50458,138.87,-13.3,0
2020,50458,132.05,19.9,0
2020,50458,92.81,-1.8,0
2020,50458,133.01,20.1,0
2020,50458,140.84,7.6,0
2020,50458,121.41,10.0,0
