GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,potential
2021.0,50704.0,31.0,115.0,103.0,0.155,16.0,1.0,24.0,0.233,0.0,9.0,41.0,0.0,1.0,1.0,0.33299999999999996
2020.0,50707.0,47.0,135.0,127.0,0.23600000000000002,30.0,0.0,30.0,0.23600000000000002,2.0,4.0,34.0,0.0,1.0,3.0,0.0
2021.0,50707.0,9.0,24.0,22.0,0.182,4.0,2.0,10.0,0.455,1.0,1.0,5.0,0.0,0.0,0.0,0.259
2020.0,50709.0,30.0,64.0,61.0,0.27899999999999997,17.0,1.0,23.0,0.377,0.0,3.0,17.0,0.0,0.0,2.0,0.0
2021.0,50709.0,33.0,120.0,107.0,0.196,21.0,0.0,25.0,0.23399999999999999,1.0,9.0,32.0,0.0,0.0,1.0,0.259
2020.0,50730.0,74.0,319.0,283.0,0.265,75.0,9.0,121.0,0.428,2.0,27.0,81.0,1.0,7.0,4.0,0.0
2020.0,50802.0,9.0,30.0,22.0,0.136,3.0,1.0,7.0,0.318,0.0,6.0,1.0,0.0,2.0,0.0,0.0
2020.0,50819.0,8.0,10.0,8.0,0.125,1.0,0.0,1.0,0.125,0.0,2.0,6.0,0.0,0.0,0.0,0.0
2020.0,50848.0,9.0,16.0,14.0,0.28600000000000003,4.0,2.0,10.0,0.7140000000000001,0.0,1.0,3.0,0.0,1.0,0.0,0.0
2020.0,50854.0,127.0,520.0,466.0,0.258,120.0,1.0,152.0,0.326,3.0,38.0,80.0,0.0,5.0,4.0,0.0
2021.0,50854.0,72.0,290.0,240.0,0.263,63.0,4.0,89.0,0.371,3.0,38.0,34.0,0.0,5.0,4.0,1.963
2020.0,50868.0,8.0,9.0,8.0,0.125,1.0,1.0,4.0,0.5,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2020.0,50923.0,136.0,546.0,482.0,0.278,134.0,31.0,261.0,0.541,6.0,46.0,149.0,3.0,12.0,10.0,0.0
2021.0,50923.0,73.0,291.0,257.0,0.28,72.0,18.0,137.0,0.5329999999999999,3.0,24.0,81.0,1.0,7.0,3.0,0.375
2020.0,50996.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,51003.0,44.0,66.0,50.0,0.24,12.0,1.0,19.0,0.38,0.0,15.0,22.0,0.0,0.0,0.0,0.0
2021.0,51004.0,60.0,250.0,225.0,0.271,61.0,7.0,91.0,0.40399999999999997,2.0,22.0,50.0,0.0,1.0,9.0,0.0
2021.0,51005.0,11.0,39.0,33.0,0.212,7.0,0.0,8.0,0.242,0.0,6.0,6.0,1.0,0.0,0.0,0.0
2021.0,51100.0,27.0,38.0,35.0,0.34299999999999997,12.0,1.0,16.0,0.457,0.0,2.0,10.0,0.0,0.0,0.0,0.0
2021.0,51203.0,52.0,144.0,131.0,0.275,36.0,2.0,52.0,0.397,3.0,7.0,35.0,0.0,3.0,3.0,0.0
2021.0,51302.0,4.0,10.0,9.0,0.111,1.0,1.0,4.0,0.444,0.0,1.0,6.0,0.0,0.0,0.0,0.0
2021.0,51324.0,43.0,148.0,139.0,0.259,36.0,2.0,52.0,0.374,1.0,7.0,29.0,0.0,1.0,7.0,0.0
2021.0,51344.0,18.0,60.0,42.0,0.16699999999999998,7.0,1.0,11.0,0.262,1.0,12.0,17.0,0.0,2.0,0.0,0.0
2021.0,51463.0,80.0,361.0,324.0,0.312,101.0,20.0,177.0,0.546,2.0,30.0,45.0,1.0,5.0,3.0,0.0
2021.0,51551.0,23.0,75.0,66.0,0.22699999999999998,15.0,1.0,20.0,0.303,1.0,8.0,21.0,0.0,0.0,0.0,0.0
2021.0,51560.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2021.0,51640.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2021.0,51706.0,9.0,27.0,21.0,0.14300000000000002,3.0,0.0,3.0,0.14300000000000002,0.0,3.0,10.0,0.0,1.0,1.0,0.0
2021.0,51725.0,67.0,268.0,249.0,0.257,64.0,7.0,98.0,0.39399999999999996,1.0,16.0,58.0,0.0,2.0,6.0,0.0
2021.0,51817.0,75.0,319.0,251.0,0.255,64.0,13.0,114.0,0.45399999999999996,3.0,56.0,69.0,1.0,9.0,6.0,0.0
2021.0,51868.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2021.0,51907.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018.0,60100.0,70.0,169.0,152.0,0.243,37.0,3.0,63.0,0.414,1.0,12.0,36.0,0.0,4.0,5.0,0.0
2019.0,60100.0,16.0,48.0,44.0,0.22699999999999998,10.0,0.0,13.0,0.295,0.0,0.0,18.0,0.0,2.0,1.0,0.2
2018.0,60184.0,6.0,10.0,10.0,0.2,2.0,0.0,3.0,0.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2019.0,60184.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.111
2018.0,60288.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,60288.0,8.0,13.0,13.0,0.231,3.0,0.0,4.0,0.308,0.0,0.0,6.0,0.0,0.0,1.0,-0.033
2020.0,60288.0,45.0,85.0,76.0,0.22399999999999998,17.0,0.0,18.0,0.237,0.0,5.0,22.0,0.0,1.0,1.0,0.10300000000000001
2021.0,60288.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531
2018.0,60343.0,83.0,174.0,162.0,0.21600000000000003,35.0,8.0,63.0,0.389,0.0,8.0,49.0,0.0,3.0,3.0,0.0
2019.0,60343.0,30.0,43.0,40.0,0.125,5.0,0.0,5.0,0.125,0.0,2.0,11.0,0.0,1.0,0.0,-0.141
2020.0,60343.0,70.0,135.0,119.0,0.26899999999999996,32.0,3.0,46.0,0.387,2.0,9.0,23.0,0.0,4.0,6.0,-0.098
2021.0,60343.0,14.0,44.0,39.0,0.231,9.0,0.0,12.0,0.308,1.0,1.0,9.0,0.0,1.0,0.0,0.091
2018.0,60456.0,4.0,8.0,6.0,0.5,3.0,0.0,3.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2018.0,60523.0,91.0,194.0,174.0,0.305,53.0,7.0,86.0,0.494,3.0,16.0,39.0,1.0,1.0,4.0,0.0
2019.0,60523.0,88.0,222.0,190.0,0.226,43.0,2.0,55.0,0.289,1.0,23.0,47.0,1.0,5.0,4.0,-0.2
2020.0,60523.0,111.0,476.0,410.0,0.295,121.0,11.0,175.0,0.42700000000000005,4.0,56.0,85.0,0.0,4.0,8.0,-0.2
2021.0,60523.0,71.0,316.0,279.0,0.33299999999999996,93.0,9.0,136.0,0.48700000000000004,1.0,34.0,45.0,2.0,1.0,3.0,0.562
2018.0,60558.0,128.0,374.0,342.0,0.254,87.0,12.0,144.0,0.42100000000000004,1.0,24.0,92.0,0.0,4.0,7.0,0.0
2019.0,60558.0,123.0,392.0,352.0,0.25,88.0,6.0,124.0,0.35200000000000004,2.0,31.0,78.0,0.0,4.0,8.0,-0.036000000000000004
2020.0,60558.0,94.0,258.0,234.0,0.27399999999999997,64.0,5.0,93.0,0.397,0.0,13.0,47.0,0.0,7.0,6.0,0.188
2021.0,60558.0,67.0,127.0,119.0,0.252,30.0,4.0,46.0,0.387,0.0,8.0,32.0,0.0,0.0,3.0,-0.105
2018.0,60566.0,114.0,204.0,187.0,0.251,47.0,0.0,49.0,0.262,0.0,8.0,15.0,0.0,2.0,8.0,0.0
2019.0,60566.0,102.0,256.0,234.0,0.278,65.0,0.0,72.0,0.308,3.0,9.0,22.0,0.0,2.0,10.0,0.0
2020.0,60566.0,82.0,65.0,61.0,0.131,8.0,0.0,9.0,0.14800000000000002,0.0,3.0,5.0,0.0,0.0,2.0,0.25
2021.0,60566.0,4.0,13.0,13.0,0.308,4.0,0.0,4.0,0.308,0.0,0.0,2.0,0.0,0.0,0.0,-0.1
2018.0,60605.0,56.0,87.0,76.0,0.263,20.0,1.0,29.0,0.382,0.0,8.0,12.0,0.0,0.0,2.0,0.0
2019.0,60605.0,10.0,20.0,19.0,0.21100000000000002,4.0,0.0,4.0,0.21100000000000002,0.0,1.0,5.0,0.0,0.0,1.0,0.14300000000000002
2018.0,60648.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,60648.0,9.0,20.0,16.0,0.188,3.0,0.0,4.0,0.25,0.0,2.0,6.0,0.0,1.0,1.0,0.031
2018.0,60805.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,60805.0,7.0,15.0,12.0,0.25,3.0,0.0,3.0,0.25,0.0,3.0,4.0,0.0,0.0,0.0,-0.125
2018.0,61102.0,132.0,465.0,425.0,0.29600000000000004,126.0,19.0,216.0,0.508,1.0,28.0,80.0,1.0,9.0,21.0,0.0
2019.0,61102.0,132.0,468.0,418.0,0.27,113.0,16.0,183.0,0.43799999999999994,6.0,30.0,82.0,2.0,13.0,21.0,0.135
2020.0,61102.0,137.0,478.0,429.0,0.261,112.0,16.0,178.0,0.415,2.0,32.0,84.0,1.0,13.0,18.0,0.095
2021.0,61102.0,69.0,247.0,221.0,0.253,56.0,5.0,81.0,0.36700000000000005,2.0,16.0,36.0,0.0,7.0,7.0,0.304
2018.0,61104.0,6.0,16.0,15.0,0.067,1.0,0.0,1.0,0.067,1.0,0.0,5.0,0.0,0.0,1.0,0.0
2019.0,61104.0,20.0,31.0,27.0,0.185,5.0,0.0,6.0,0.222,0.0,2.0,4.0,0.0,2.0,2.0,-0.111
2018.0,61114.0,25.0,41.0,36.0,0.222,8.0,0.0,11.0,0.306,0.0,3.0,9.0,0.0,2.0,1.0,0.0
2019.0,61114.0,4.0,9.0,9.0,0.111,1.0,0.0,1.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,-0.294
2018.0,61186.0,112.0,405.0,359.0,0.34,122.0,2.0,156.0,0.435,2.0,39.0,48.0,2.0,3.0,11.0,0.0
2019.0,61186.0,138.0,613.0,546.0,0.308,168.0,2.0,204.0,0.374,1.0,57.0,82.0,1.0,5.0,13.0,0.875
2020.0,61186.0,89.0,359.0,312.0,0.256,80.0,3.0,104.0,0.33299999999999996,6.0,35.0,44.0,0.0,4.0,7.0,0.867
2021.0,61186.0,59.0,195.0,167.0,0.21600000000000003,36.0,2.0,49.0,0.293,1.0,23.0,22.0,0.0,3.0,10.0,-0.321
2018.0,61197.0,61.0,140.0,126.0,0.294,37.0,4.0,56.0,0.444,2.0,10.0,30.0,0.0,0.0,6.0,0.0
2019.0,61197.0,96.0,275.0,251.0,0.251,63.0,5.0,95.0,0.37799999999999995,0.0,14.0,47.0,2.0,2.0,4.0,0.606
2020.0,61197.0,58.0,118.0,101.0,0.297,30.0,1.0,36.0,0.35600000000000004,1.0,13.0,16.0,0.0,2.0,3.0,0.509
2021.0,61197.0,23.0,38.0,36.0,0.33299999999999996,12.0,1.0,18.0,0.5,0.0,1.0,7.0,0.0,1.0,0.0,-0.062
2018.0,61204.0,55.0,96.0,83.0,0.193,16.0,2.0,23.0,0.27699999999999997,2.0,9.0,18.0,0.0,0.0,1.0,0.0
2019.0,61204.0,42.0,85.0,78.0,0.282,22.0,0.0,26.0,0.33299999999999996,0.0,6.0,15.0,0.0,0.0,1.0,-0.20600000000000002
2020.0,61204.0,82.0,73.0,68.0,0.221,15.0,0.0,20.0,0.294,0.0,5.0,8.0,0.0,0.0,2.0,-0.1
2018.0,61208.0,111.0,299.0,269.0,0.301,81.0,2.0,101.0,0.375,1.0,19.0,44.0,0.0,1.0,8.0,0.0
2019.0,61208.0,66.0,110.0,96.0,0.20800000000000002,20.0,1.0,23.0,0.24,0.0,11.0,24.0,0.0,0.0,2.0,0.32899999999999996
2020.0,61208.0,113.0,326.0,282.0,0.27699999999999997,78.0,2.0,100.0,0.355,2.0,29.0,50.0,1.0,3.0,5.0,0.0
2021.0,61208.0,47.0,167.0,145.0,0.228,33.0,0.0,42.0,0.29,2.0,15.0,22.0,1.0,1.0,5.0,0.062
2018.0,61353.0,102.0,351.0,330.0,0.27899999999999997,92.0,6.0,132.0,0.4,4.0,15.0,96.0,1.0,1.0,2.0,0.0
2019.0,61353.0,137.0,513.0,492.0,0.32299999999999995,159.0,3.0,207.0,0.42100000000000004,2.0,18.0,89.0,1.0,1.0,5.0,0.0
2020.0,61353.0,92.0,288.0,272.0,0.28300000000000003,77.0,3.0,101.0,0.371,1.0,14.0,55.0,0.0,1.0,3.0,0.545
2021.0,61353.0,44.0,104.0,94.0,0.255,24.0,0.0,27.0,0.287,2.0,8.0,15.0,0.0,0.0,3.0,-0.353
2018.0,61366.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
2018.0,61404.0,141.0,586.0,513.0,0.3,154.0,11.0,217.0,0.423,4.0,54.0,70.0,1.0,10.0,13.0,0.0
2019.0,61404.0,114.0,467.0,411.0,0.297,122.0,5.0,159.0,0.387,6.0,37.0,41.0,1.0,8.0,18.0,0.8240000000000001
2020.0,61404.0,97.0,283.0,254.0,0.248,63.0,3.0,80.0,0.315,3.0,22.0,31.0,0.0,3.0,7.0,0.226
2021.0,61404.0,67.0,190.0,167.0,0.305,51.0,3.0,68.0,0.40700000000000003,1.0,17.0,19.0,0.0,4.0,6.0,-0.158
2018.0,61554.0,59.0,108.0,97.0,0.21600000000000003,21.0,3.0,34.0,0.35100000000000003,1.0,5.0,30.0,0.0,3.0,6.0,0.0
2019.0,61554.0,72.0,140.0,125.0,0.256,32.0,2.0,44.0,0.35200000000000004,1.0,9.0,41.0,0.0,3.0,4.0,0.21899999999999997
2020.0,61554.0,36.0,85.0,74.0,0.284,21.0,1.0,30.0,0.405,0.0,8.0,16.0,0.0,2.0,2.0,0.154
2021.0,61554.0,42.0,134.0,108.0,0.213,23.0,1.0,32.0,0.29600000000000004,2.0,16.0,35.0,0.0,8.0,3.0,0.0
2018.0,61566.0,9.0,15.0,14.0,0.35700000000000004,5.0,0.0,5.0,0.35700000000000004,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2019.0,61566.0,71.0,162.0,149.0,0.255,38.0,1.0,45.0,0.302,0.0,12.0,28.0,0.0,1.0,1.0,0.111
2020.0,61566.0,60.0,95.0,84.0,0.179,15.0,1.0,22.0,0.262,0.0,8.0,29.0,0.0,1.0,4.0,0.36700000000000005
2018.0,61591.0,56.0,79.0,74.0,0.23,17.0,0.0,20.0,0.27,0.0,1.0,22.0,0.0,1.0,0.0,0.0
2019.0,61591.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025
2018.0,61652.0,22.0,43.0,40.0,0.25,10.0,1.0,15.0,0.375,0.0,2.0,7.0,0.0,1.0,4.0,0.0
2018.0,61700.0,77.0,289.0,245.0,0.278,68.0,5.0,96.0,0.392,1.0,38.0,59.0,0.0,4.0,7.0,0.0
2019.0,61700.0,52.0,135.0,113.0,0.239,27.0,0.0,31.0,0.27399999999999997,1.0,15.0,32.0,0.0,3.0,3.0,0.517
2020.0,61700.0,94.0,238.0,193.0,0.228,44.0,4.0,65.0,0.337,2.0,35.0,64.0,0.0,3.0,2.0,-0.114
2021.0,61700.0,12.0,26.0,22.0,0.136,3.0,0.0,3.0,0.136,0.0,4.0,10.0,0.0,0.0,0.0,0.115
2018.0,61743.0,30.0,50.0,44.0,0.136,6.0,0.0,6.0,0.136,1.0,3.0,11.0,0.0,1.0,1.0,0.0
2019.0,61743.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.075
2020.0,61743.0,70.0,161.0,148.0,0.27,40.0,3.0,56.0,0.37799999999999995,1.0,11.0,34.0,1.0,1.0,1.0,-0.18899999999999997
2021.0,61743.0,16.0,31.0,29.0,0.207,6.0,1.0,10.0,0.345,0.0,2.0,9.0,0.0,0.0,1.0,0.33299999999999996
2018.0,61865.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,61869.0,96.0,212.0,201.0,0.244,49.0,3.0,68.0,0.33799999999999997,0.0,6.0,45.0,0.0,2.0,2.0,0.0
2019.0,61869.0,13.0,17.0,16.0,0.188,3.0,0.0,3.0,0.188,0.0,1.0,2.0,0.0,0.0,0.0,0.32299999999999995
2020.0,61869.0,50.0,140.0,126.0,0.23800000000000002,30.0,2.0,42.0,0.33299999999999996,2.0,7.0,34.0,1.0,1.0,2.0,-0.439
2021.0,61869.0,28.0,76.0,71.0,0.19699999999999998,14.0,2.0,23.0,0.324,0.0,3.0,16.0,0.0,0.0,0.0,-0.239
2021.0,61895.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018.0,61962.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018.0,62016.0,14.0,37.0,33.0,0.182,6.0,0.0,7.0,0.212,0.0,2.0,10.0,0.0,1.0,0.0,0.0
2018.0,62025.0,77.0,150.0,138.0,0.304,42.0,5.0,67.0,0.486,2.0,10.0,33.0,0.0,0.0,3.0,0.0
2019.0,62025.0,94.0,285.0,256.0,0.258,66.0,8.0,101.0,0.395,3.0,20.0,47.0,0.0,1.0,5.0,0.852
2020.0,62025.0,73.0,146.0,132.0,0.258,34.0,4.0,55.0,0.41700000000000004,1.0,11.0,26.0,1.0,0.0,3.0,0.42
2021.0,62025.0,31.0,69.0,65.0,0.231,15.0,0.0,17.0,0.262,1.0,1.0,11.0,0.0,1.0,1.0,-0.07
2018.0,62164.0,51.0,84.0,69.0,0.29,20.0,2.0,26.0,0.377,2.0,12.0,18.0,0.0,1.0,1.0,0.0
2019.0,62164.0,13.0,24.0,21.0,0.23800000000000002,5.0,0.0,6.0,0.28600000000000003,0.0,3.0,8.0,0.0,0.0,1.0,0.514
2018.0,62234.0,128.0,280.0,228.0,0.268,61.0,1.0,71.0,0.311,2.0,29.0,43.0,0.0,10.0,3.0,0.0
2019.0,62234.0,118.0,316.0,276.0,0.25,69.0,0.0,79.0,0.28600000000000003,3.0,24.0,40.0,0.0,7.0,6.0,0.316
2020.0,62234.0,25.0,51.0,42.0,0.381,16.0,1.0,22.0,0.524,2.0,1.0,6.0,0.0,5.0,3.0,-0.16
2021.0,62234.0,37.0,130.0,112.0,0.259,29.0,0.0,32.0,0.28600000000000003,2.0,11.0,16.0,0.0,4.0,3.0,-0.048
2018.0,62244.0,89.0,194.0,170.0,0.282,48.0,3.0,69.0,0.406,1.0,16.0,55.0,0.0,4.0,0.0,0.0
2019.0,62244.0,137.0,505.0,441.0,0.27899999999999997,123.0,4.0,172.0,0.39,6.0,41.0,68.0,1.0,7.0,5.0,0.0
2020.0,62244.0,124.0,423.0,360.0,0.26899999999999996,97.0,4.0,131.0,0.364,7.0,35.0,45.0,0.0,12.0,7.0,1.32
2021.0,62244.0,33.0,105.0,87.0,0.24100000000000002,21.0,0.0,25.0,0.287,1.0,12.0,14.0,0.0,4.0,2.0,0.121
2018.0,62265.0,31.0,58.0,48.0,0.271,13.0,3.0,26.0,0.542,2.0,8.0,14.0,0.0,0.0,3.0,0.0
2019.0,62265.0,61.0,202.0,175.0,0.29100000000000004,51.0,5.0,81.0,0.46299999999999997,0.0,24.0,35.0,0.0,3.0,6.0,-0.044000000000000004
2020.0,62265.0,126.0,456.0,391.0,0.24600000000000002,96.0,8.0,143.0,0.366,4.0,53.0,80.0,1.0,6.0,14.0,0.395
2021.0,62265.0,8.0,25.0,21.0,0.14300000000000002,3.0,0.0,4.0,0.19,0.0,3.0,5.0,0.0,1.0,1.0,0.75
2018.0,62332.0,116.0,234.0,202.0,0.228,46.0,3.0,62.0,0.307,3.0,12.0,58.0,0.0,8.0,2.0,0.0
2020.0,62332.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2021.0,62332.0,15.0,21.0,20.0,0.15,3.0,0.0,5.0,0.25,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2018.0,62353.0,16.0,17.0,16.0,0.063,1.0,1.0,4.0,0.25,0.0,0.0,4.0,0.0,1.0,0.0,0.0
2019.0,62353.0,60.0,88.0,71.0,0.19699999999999998,14.0,0.0,18.0,0.254,0.0,11.0,31.0,0.0,5.0,1.0,-0.182
2020.0,62353.0,86.0,47.0,43.0,0.18600000000000003,8.0,0.0,10.0,0.233,0.0,2.0,14.0,0.0,2.0,0.0,-0.044000000000000004
2021.0,62353.0,26.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2018.0,62356.0,104.0,336.0,298.0,0.295,88.0,3.0,110.0,0.369,4.0,27.0,89.0,0.0,6.0,3.0,0.0
2019.0,62356.0,94.0,250.0,222.0,0.248,55.0,3.0,74.0,0.33299999999999996,2.0,22.0,68.0,0.0,4.0,4.0,1.0
2020.0,62356.0,54.0,111.0,101.0,0.20800000000000002,21.0,1.0,28.0,0.27699999999999997,1.0,5.0,24.0,0.0,1.0,3.0,-0.069
2018.0,62404.0,116.0,529.0,478.0,0.33299999999999996,159.0,20.0,255.0,0.5329999999999999,2.0,43.0,110.0,2.0,5.0,4.0,0.0
2019.0,62404.0,122.0,526.0,475.0,0.267,127.0,15.0,211.0,0.444,6.0,38.0,88.0,2.0,7.0,5.0,0.2
2020.0,62404.0,118.0,510.0,446.0,0.307,137.0,15.0,213.0,0.478,4.0,51.0,91.0,3.0,8.0,4.0,-0.067
2021.0,62404.0,76.0,336.0,296.0,0.28,83.0,11.0,139.0,0.47,7.0,30.0,55.0,2.0,2.0,6.0,0.28600000000000003
2018.0,62409.0,54.0,82.0,73.0,0.233,17.0,0.0,23.0,0.315,0.0,8.0,28.0,0.0,0.0,0.0,0.0
2019.0,62409.0,30.0,34.0,32.0,0.281,9.0,0.0,10.0,0.313,0.0,2.0,10.0,1.0,0.0,0.0,0.1
2020.0,62409.0,51.0,116.0,96.0,0.21899999999999997,21.0,1.0,29.0,0.302,2.0,15.0,22.0,1.0,1.0,2.0,-0.091
