HIT_VEL,HIT_ANG_VER
133.12,36.8
139.02,24.7
141.7,24.8
149.37,7.4
131.53,43.8
126.63,15.0
152.96,-14.9
143.46,26.7
135.87,-14.9
166.27,12.6
141.6,34.9
132.08,24.9
138.93,5.0
80.42,19.6
143.62,50.6
134.87,24.5
147.87,24.0
146.2,46.9
125.24,-11.5
147.55,30.6
157.95,-4.7
127.2,-5.6
161.34,28.0
145.67,21.1
141.3,-0.2
123.37,-18.4
135.22,36.9
122.04,68.1
165.0,0.6
81.78,29.2
85.14,-20.3
155.55,-3.2
134.96,70.8
145.2,-15.7
112.62,27.2
132.16,-7.9
160.3,9.0
142.49,10.6
142.08,-2.5
136.38,16.9
150.0,5.1
138.12,-20.9
110.18,75.9
105.8,19.2
161.39,21.1
139.25,8.8
155.22,9.6
148.0,2.1
116.29,41.0
138.32,35.9
106.43,-11.3
131.3,27.3
154.21,17.4
128.17,-17.1
150.98,-2.9
130.97,41.9
161.81,14.3
129.67,17.5
157.37,5.2
95.31,5.1
144.67,1.9
112.87,8.2
140.31,64.6
135.17,5.7
159.94,11.6
119.52,48.3
131.21,-3.4
168.13,13.7
121.99,1.8
163.08,6.4
132.22,12.4
129.84,26.4
106.47,2.4
130.71,37.2
138.85,5.5
100.44,-18.7
118.71,68.2
145.67,-0.5
151.44,-5.9
144.51,47.5
94.86,-20.8
131.95,46.7
85.21,-13.3
113.31,-9.8
111.17,78.1
149.1,16.7
140.5,31.0
145.16,-3.3
147.89,5.8
137.92,2.2
134.04,-21.4
136.86,62.2
114.51,-13.2
124.58,38.2
120.5,9.4
137.06,60.8
145.56,7.8
125.74,38.6
155.49,-0.5
96.39,28.5
141.3,41.5
124.83,25.9
145.3,-9.7
138.66,73.7
141.16,6.5
123.44,34.4
125.67,-20.5
133.48,35.9
119.86,69.1
149.37,0.1
149.99,24.1
165.31,22.6
131.53,16.4
146.58,30.6
163.05,8.8
149.82,12.4
144.5,-9.8
102.66,-7.6
164.75,-2.5
121.6,39.3
56.05,40.5
144.15,7.6
78.39,47.4
68.85,-17.9
138.32,40.5
134.36,10.8
151.15,7.3
137.49,-0.9
73.15,-43.7
131.36,23.8
142.76,32.2
146.39,-9.4
141.77,28.1
152.99,7.7
137.72,-13.3
95.57,-19.8
160.45,17.9
112.67,-7.6
121.5,8.5
154.31,45.1
145.61,17.7
147.71,25.8
138.22,34.8
158.06,23.7
132.11,2.9
161.12,0.0
140.67,-10.3
119.24,19.1
137.8,26.3
147.27,28.8
152.72,-8.6
147.67,31.5
150.42,-4.8
133.72,38.3
133.55,45.7
98.37,29.3
134.23,9.8
115.57,53.3
161.59,-2.7
143.57,57.4
150.0,30.4
143.71,-10.1
117.63,67.8
157.03,28.9
130.32,19.0
87.29,23.1
131.88,17.4
148.36,43.5
131.19,42.2
163.47,13.2
140.26,-6.0
102.15,42.6
158.64,0.3
103.64,7.2
108.18,29.9
140.61,33.2
129.15,30.9
128.53,21.7
134.12,5.4
119.15,38.8
153.06,-4.2
144.1,1.2
134.2,22.0
118.62,-7.4
126.48,55.4
141.0,-2.7
163.65,7.7
129.37,1.1
150.11,18.1
132.12,9.0
158.54,-3.7
137.68,-26.0
146.35,-15.6
134.34,57.8
126.52,35.4
101.7,43.5
86.51,5.4
120.22,61.8
136.99,34.0
125.41,-27.8
101.53,46.7
126.67,-11.9
112.29,33.8
76.71,-30.2
149.98,0.7
124.29,-5.2
148.82,13.7
157.74,15.2
157.7,14.2
113.54,8.3
118.44,-4.5
92.58,41.3
144.12,-4.0
150.27,18.1
144.39,38.1
152.34,8.9
151.94,18.8
134.41,28.7
149.12,13.4
158.22,-12.3
150.04,20.3
167.32,10.2
143.16,29.9
106.88,18.6
143.32,38.4
118.81,41.7
147.2,-3.6
141.36,3.2
119.5,42.4
112.61,57.4
112.28,69.2
159.64,29.0
130.32,6.6
143.15,29.8
164.32,21.6
118.34,28.3
142.98,30.8
115.1,60.8
140.69,5.1
113.18,-26.2
150.24,-8.2
123.21,10.6
113.03,32.7
159.47,20.1
139.71,-12.1
162.49,32.9
130.42,2.2
121.61,-15.7
123.53,59.1
134.53,29.7
171.99,12.6
109.8,53.6
139.14,30.4
150.59,-5.1
115.14,21.4
142.87,40.2
107.27,19.4
120.47,54.2
148.4,38.3
124.37,-8.5
145.75,-0.9
142.05,15.7
127.91,48.8
139.47,11.6
117.54,71.7
138.1,12.4
150.05,37.2
114.55,-3.1
132.67,-11.5
159.66,37.6
135.97,-21.4
142.78,27.8
138.83,12.7
84.93,67.0
118.06,48.3
129.76,57.2
155.83,12.4
153.58,33.6
100.52,-16.4
138.81,-13.5
155.93,11.6
119.07,57.1
138.54,-4.5
171.06,23.4
145.5,60.5
79.4,49.2
155.9,-4.4
133.55,26.7
140.3,42.3
129.04,13.8
138.76,26.2
102.8,-5.4
113.02,11.1
126.95,35.9
153.56,26.5
138.26,45.4
137.9,-2.3
126.62,63.4
105.55,36.6
122.38,9.2
122.84,41.9
111.42,62.5
126.59,24.0
142.03,-15.6
156.53,6.5
164.09,9.3
113.65,33.4
146.72,33.0
120.19,14.7
153.96,-11.4
115.25,41.5
144.26,43.9
123.73,4.6
147.96,8.8
147.2,23.8
129.55,62.3
140.91,22.1
39.29,30.8
95.28,-8.0
133.93,-7.9
144.66,47.5
140.13,-10.4
134.3,76.3
107.84,-2.3
151.7,46.6
157.78,5.4
140.46,-11.4
115.05,27.4
138.79,7.3
144.51,14.4
147.83,20.7
114.92,50.3
118.71,-13.2
85.19,34.8
111.99,5.1
120.27,18.1
152.46,-3.4
104.31,45.5
135.45,20.1
131.46,42.7
123.54,-29.3
121.53,-13.7
87.89,53.5
107.5,41.3
162.17,43.0
143.61,-9.3
135.82,17.4
151.5,-4.1
148.24,-13.2
166.43,7.0
147.33,24.9
120.46,26.7
144.35,10.8
81.43,16.9
136.28,-1.2
140.24,28.1
142.9,37.6
90.97,-13.2
152.89,11.7
139.78,53.6
103.87,44.2
114.52,22.3
153.16,12.3
155.48,13.3
138.25,53.7
131.55,12.2
151.99,-4.5
89.36,16.0
156.3,-4.7
112.77,34.2
99.29,59.4
162.86,14.1
128.88,16.3
94.3,74.6
155.25,2.9
165.54,16.6
114.93,33.5
119.83,39.5
142.06,3.7
83.35,-22.3
128.64,21.0
101.91,43.8
140.07,-0.3
148.04,17.4
142.95,2.4
120.27,16.6
74.82,32.3
145.45,45.4
145.25,28.2
126.67,17.0
142.57,26.0
158.8,40.4
121.83,22.1
93.12,-14.4
95.41,-10.1
96.49,-17.5
103.09,31.8
100.71,40.2
129.07,-3.8
152.32,9.8
151.52,-2.3
156.68,-2.4
106.47,-9.9
152.87,-7.0
148.23,-15.5
97.37,-1.3
167.4,-3.0
152.67,42.6
144.24,31.7
108.58,61.1
150.42,13.0
164.62,-7.4
153.23,-5.0
150.8,18.2
98.99,61.4
139.81,15.3
138.76,27.9
147.66,12.5
143.66,26.1
150.34,39.4
144.26,11.6
85.08,79.8
105.6,-16.0
135.34,13.5
142.12,-11.2
44.37,-14.3
129.95,36.4
148.71,53.9
130.26,13.8
140.16,32.8
118.49,3.5
156.38,1.4
109.66,-28.9
93.72,22.7
131.97,26.1
105.46,27.4
76.45,-6.5
110.13,12.0
98.53,70.2
152.9,-1.4
137.4,47.4
158.71,3.9
154.25,-4.0
162.04,-4.8
153.43,-14.8
94.57,55.2
172.29,-3.1
144.92,15.4
123.81,55.6
157.24,7.8
114.94,55.7
147.36,48.3
146.51,-3.3
156.14,9.1
138.55,18.7
151.64,10.7
72.17,79.7
137.03,0.9
113.48,42.5
143.47,22.1
100.95,-29.6
126.34,35.8
113.07,-6.3
132.02,12.8
148.88,19.2
119.89,-11.1
147.57,-15.1
157.43,-2.6
116.49,-1.0
132.76,0.4
138.06,8.3
122.02,79.2
155.63,16.4
164.2,42.1
146.98,-18.6
140.73,-4.6
122.29,65.8
140.24,16.6
104.08,52.6
143.02,8.6
131.56,-1.9
133.71,-1.6
108.52,76.6
123.77,6.8
136.86,-6.0
111.12,7.0
141.91,30.9
139.06,54.9
145.05,32.5
143.48,4.7
128.07,-16.8
135.72,12.2
130.06,13.8
122.4,73.4
160.85,-2.1
137.1,0.5
132.57,48.3
127.08,9.5
133.93,60.9
144.47,46.2
168.27,-9.4
144.91,0.0
156.3,19.5
131.07,47.5
128.62,-6.5
151.44,-5.6
157.5,24.5
116.45,53.9
143.59,28.6
142.3,24.1
153.91,9.7
106.59,83.2
161.59,42.3
173.41,16.9
141.63,-9.2
151.8,3.0
154.2,14.8
94.96,-20.9
118.47,16.5
135.2,2.1
26.32,17.6
127.36,23.8
157.26,11.0
133.41,55.5
119.46,75.9
156.17,9.3
126.34,-5.4
140.07,53.7
149.97,23.8
151.75,9.9
113.61,9.7
157.03,-7.7
103.34,-17.4
129.4,-0.6
151.87,19.1
152.08,3.6
125.78,28.6
117.17,52.4
106.42,-9.0
137.98,-2.8
139.07,3.1
131.11,36.9
139.59,19.2
165.53,23.5
150.77,32.9
138.19,58.8
148.02,-9.0
157.17,4.5
77.58,-6.5
122.55,27.1
139.28,-1.4
126.87,72.5
125.97,40.3
131.66,76.8
121.49,40.3
117.19,59.4
142.35,-4.0
117.25,16.9
51.17,50.0
162.55,18.1
143.49,12.2
154.25,15.0
152.26,-7.6
130.85,51.6
142.96,2.5
125.95,68.7
147.46,29.8
67.78,26.5
147.78,41.4
143.6,9.4
106.57,35.9
148.13,15.7
144.19,-1.5
147.66,21.1
98.42,62.3
138.33,56.5
146.19,21.7
134.3,-19.0
136.8,19.9
165.13,2.6
137.22,34.6
147.83,9.2
150.93,20.2
131.52,22.7
90.23,-21.3
125.79,15.9
104.86,7.7
118.03,50.2
135.35,7.3
146.64,28.3
153.27,31.5
67.5,25.7
151.38,10.9
118.92,52.3
130.24,22.3
147.69,38.5
153.55,22.7
92.25,72.7
126.54,35.6
140.69,57.8
116.7,-1.8
124.29,35.6
130.89,32.5
122.46,40.4
88.57,5.3
151.26,27.8
158.89,35.6
133.17,38.9
148.66,20.0
133.02,3.5
150.85,9.3
156.99,5.5
150.97,10.8
129.37,35.4
113.44,-8.8
125.26,1.9
111.6,-19.3
136.44,9.2
157.77,-3.2
160.89,-10.4
116.12,35.8
130.6,17.4
131.02,17.0
155.46,0.7
121.59,7.6
124.53,-6.5
166.22,-1.3
116.01,21.2
143.23,34.6
135.14,22.2
124.26,-12.9
164.95,21.2
122.81,20.3
133.73,11.1
139.96,20.1
146.29,34.9
129.48,-1.2
138.48,27.9
102.99,-24.6
141.06,-10.4
120.66,31.6
114.93,73.0
132.26,0.5
106.63,-31.4
140.49,13.1
130.0,35.7
119.09,22.1
148.4,-0.6
142.33,16.9
150.76,9.1
139.05,18.0
122.44,-25.2
141.7,33.0
169.48,12.1
104.35,-2.5
167.7,-1.3
127.02,14.3
139.34,27.0
129.74,30.5
155.75,-2.9
143.43,24.6
140.31,1.8
118.31,-17.6
123.46,1.8
157.13,24.7
92.28,18.5
154.05,0.2
133.77,16.7
121.37,48.0
163.44,3.8
129.94,9.9
144.85,-21.6
159.1,16.3
129.61,56.7
154.14,31.3
120.49,-19.9
154.5,-1.0
132.6,16.0
158.18,33.0
136.01,42.2
144.19,30.1
162.84,32.9
151.3,5.2
118.32,8.9
135.82,61.6
152.73,-1.5
119.9,26.3
154.91,-6.4
138.47,34.4
94.98,6.9
146.78,-5.5
147.23,-3.9
142.58,-0.6
69.09,42.4
128.25,27.1
124.65,7.5
108.06,-21.4
156.19,22.2
141.27,28.5
162.59,18.9
153.08,0.4
146.2,19.1
153.04,15.0
136.59,1.9
139.51,39.9
136.09,39.2
141.53,-8.8
140.64,13.8
164.69,-12.0
125.46,40.0
160.68,-6.6
151.18,-7.1
137.44,27.3
136.88,1.9
151.6,-14.0
152.37,26.0
162.55,22.3
110.52,-12.1
117.36,30.6
122.97,27.8
150.12,-11.4
110.29,19.6
140.23,4.9
143.0,31.1
154.08,10.9
119.75,-0.4
128.4,40.1
84.98,-29.1
133.33,31.0
148.52,18.4
129.28,44.7
147.54,-1.6
107.31,19.4
126.67,-4.9
117.61,-4.7
116.25,20.8
155.73,0.3
120.46,1.5
168.69,41.6
146.82,4.7
154.91,27.3
156.05,-15.2
152.67,-0.8
118.07,67.3
150.18,36.0
117.5,12.3
154.14,26.3
142.5,11.1
125.72,-5.8
109.64,48.6
138.41,-16.6
164.24,17.0
121.19,52.1
142.55,-17.4
131.54,43.9
148.0,38.7
57.89,-13.4
128.06,8.2
67.76,79.2
106.66,42.8
142.0,14.5
51.77,48.7
135.39,-16.2
145.0,0.7
142.29,4.2
174.39,27.4
129.02,39.3
143.97,49.0
109.01,77.5
129.67,31.8
139.88,2.9
115.93,78.2
145.42,14.4
137.74,19.8
127.27,47.0
145.05,-14.4
145.14,7.4
116.7,86.0
124.99,7.3
121.85,48.9
126.45,53.0
141.98,8.5
92.73,0.7
156.95,-0.1
159.34,-6.8
151.16,-12.3
144.93,54.7
68.27,78.0
110.56,43.0
148.42,30.0
163.47,18.0
116.63,73.8
143.79,-4.2
147.52,-11.9
125.82,29.0
147.14,39.3
114.88,62.5
132.89,78.3
161.64,-12.8
120.24,9.9
147.85,13.7
141.46,16.5
104.84,-3.5
175.21,32.9
81.03,-13.8
142.61,2.8
138.71,15.3
156.96,-9.8
127.96,71.8
110.35,71.8
116.77,45.8
163.87,2.6
79.55,3.4
124.47,-7.8
104.79,78.3
161.86,-13.2
153.63,-9.6
136.17,-1.0
162.75,15.5
141.63,-1.5
155.52,13.9
131.8,18.4
114.19,50.1
140.72,47.8
149.86,26.5
153.07,21.0
151.26,15.3
144.47,3.4
132.42,10.6
121.02,51.3
108.27,32.4
150.86,5.3
111.55,50.4
128.94,47.0
133.31,19.4
134.03,33.1
144.88,11.1
156.37,-4.7
130.85,51.5
151.66,20.9
115.1,64.5
121.69,60.3
121.24,6.0
134.37,-20.2
104.55,76.5
107.5,50.7
166.8,-3.3
141.66,-10.0
105.44,14.2
52.46,-27.6
109.48,66.3
118.85,16.8
146.07,15.7
151.91,2.5
132.72,15.8
146.39,-6.6
133.87,-9.7
152.46,7.7
149.99,-13.5
149.92,33.6
139.4,3.3
152.25,16.8
151.84,-3.7
125.69,46.9
126.94,41.0
125.83,68.8
141.91,31.2
131.06,51.4
124.32,19.4
152.68,-1.2
140.97,-2.4
151.13,17.9
156.25,10.9
102.75,73.6
155.98,1.8
149.42,9.5
112.19,24.9
126.99,5.0
159.68,42.9
141.85,29.3
117.07,68.4
153.2,15.0
122.68,-30.1
153.42,41.9
98.62,-20.1
148.92,63.0
120.37,60.2
146.78,59.3
156.38,-6.0
161.1,10.3
150.4,23.7
158.25,20.3
151.9,-4.4
146.75,-6.8
154.11,18.0
135.54,42.9
135.78,46.0
122.14,46.2
145.77,31.0
152.84,57.8
120.53,-12.0
131.17,45.1
114.87,-1.8
146.48,26.1
143.93,7.7
150.36,14.1
152.26,-17.9
150.92,-13.9
121.93,20.4
159.74,-8.5
115.25,1.7
133.5,80.0
147.62,-8.2
143.28,60.0
144.01,34.2
146.49,-7.2
136.75,33.3
119.66,69.8
135.63,9.1
148.27,50.9
150.55,33.5
157.62,-14.3
162.09,26.8
151.84,23.8
139.95,0.3
161.91,19.3
118.08,-12.7
163.03,36.7
107.27,4.9
149.48,14.2
102.91,-15.4
141.51,38.1
116.08,2.9
119.05,9.2
71.73,4.8
149.4,17.8
131.02,22.4
157.06,-13.0
133.92,20.0
145.5,21.7
112.23,22.0
96.31,56.7
161.02,48.5
158.13,1.3
144.45,-5.3
125.53,40.8
119.05,2.2
132.88,40.5
113.05,-17.1
138.12,49.1
108.73,3.4
129.9,33.2
118.18,-2.2
152.47,2.3
137.09,0.4
133.93,19.5
129.49,18.8
157.05,28.2
153.08,5.5
151.1,16.4
164.95,-7.2
98.44,-15.5
141.84,34.8
124.84,2.1
130.3,37.9
99.21,51.0
171.23,9.7
123.18,5.1
150.58,11.2
159.32,18.5
125.43,25.0
144.07,24.3
116.83,-7.1
131.01,19.5
133.0,-6.1
136.53,-5.1
149.46,21.3
135.86,46.3
112.65,32.1
115.0,44.9
150.75,29.2
140.93,38.9
128.71,25.1
146.79,23.3
117.94,12.3
151.14,-6.9
150.67,4.4
118.01,51.4
133.26,9.4
111.19,19.8
133.85,42.5
131.27,21.6
76.41,36.2
141.95,8.1
140.19,29.0
147.24,-3.3
103.43,33.8
77.36,16.9
130.27,24.3
148.93,9.7
145.88,-11.0
122.85,13.4
86.1,47.1
159.61,3.8
129.5,-0.6
147.52,62.3
133.8,25.0
149.04,-29.9
133.75,-8.5
67.61,20.9
136.55,22.5
147.7,0.9
131.66,27.6
156.14,-3.5
137.12,-7.5
127.33,-7.5
117.31,-11.6
145.05,-4.7
150.58,1.7
141.94,32.8
142.38,33.8
138.72,-2.1
133.23,37.8
149.46,16.3
138.81,25.6
130.72,40.1
166.69,-10.7
147.49,-4.0
148.75,33.7
107.8,-19.3
152.66,14.1
144.77,21.0
135.7,14.3
136.55,26.7
136.6,29.3
146.45,-6.0
95.67,23.2
165.39,26.1
123.86,4.6
132.23,60.3
144.86,26.7
111.98,25.1
109.89,71.5
133.28,8.7
160.87,-11.1
78.31,-20.2
161.4,32.1
155.14,5.4
102.56,11.2
141.48,34.8
148.15,-7.4
121.69,78.6
140.24,20.2
